Altium Designer Pick and Place Locations
F:\n-blocks\upa-dip\asm\Pick_Place.csv

========================================================================================================================
File Design Information:

Date:       24-05-20
Time:       15:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"B1","TopLayer","-82.2150","-169.7193","360"
"Y1","TopLayer","27.9324","15.2490","360"
"U1","TopLayer","21.5900","23.7470","360"
"SW1","TopLayer","16.5100","13.3350","90"
"R2","TopLayer","26.7550","10.8750","360"
"R1","TopLayer","1.2700","12.0650","90"
"LCD1","BottomLayer","20.3200","31.1123","360"
"JP2","TopLayer","31.1150","4.4450","360"
"JP1","TopLayer","8.8900","4.4450","360"
"JP3","TopLayer","-0.0200","21.2070","90"
"C4","TopLayer","37.4650","15.4395","180"
"C2","TopLayer","37.4900","12.6500","180"
"C3","TopLayer","6.3500","12.7000","180"
"C1","TopLayer","6.3500","15.2400","360"
